code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.318.fas', 135.58, 129.435, 1450.417, 1180.013
'bali_phy_msa.319.fas', 134.938, 128.631, 1389.777, 1178.256
'bali_phy_msa.32.fas', 131.649, 124.35, 1220.731, 1119.268
'bali_phy_msa.320.fas', 136.438, 130.098, 1447.723, 1208.758
'bali_phy_msa.321.fas', 134.556, 127.738, 1264.992, 1176.085
'bali_phy_msa.322.fas', 135.037, 128.814, 1468.562, 1202.59
'bali_phy_msa.323.fas', 133.771, 126.904, 1388.287, 1150.079
'bali_phy_msa.324.fas', 134.211, 128.115, 1462.502, 1209.13
'bali_phy_msa.325.fas', 132.04, 125.015, 1256.243, 1122.101
'bali_phy_msa.326.fas', 134.642, 127.772, 1361.119, 1132.771
'bali_phy_msa.327.fas', 133.738, 126.793, 1444.005, 1120.12
'bali_phy_msa.328.fas', 134.133, 127.611, 1317.455, 1160.277
'bali_phy_msa.329.fas', 132.332, 126.001, 1414.249, 1122.086
'bali_phy_msa.33.fas', 131.235, 124.087, 1271.297, 1116.98
'bali_phy_msa.330.fas', 134.636, 128.247, 1461.434, 1189.152
'bali_phy_msa.331.fas', 135.218, 128.767, 1387.032, 1170.753
'bali_phy_msa.332.fas', 131.372, 124.393, 1372.54, 1125.512
'bali_phy_msa.333.fas', 135.408, 129.13, 1289.551, 1190.118
'bali_phy_msa.334.fas', 132.723, 126.363, 1385.927, 1166.834
'bali_phy_msa.335.fas', 135.194, 129.061, 1412.484, 1196.26
'bali_phy_msa.336.fas', 134.446, 128.07, 1386.785, 1157.024
'bali_phy_msa.337.fas', 132.494, 125.981, 1392.82, 1169.785
'bali_phy_msa.338.fas', 135.117, 129.113, 1435.834, 1194.088
'bali_phy_msa.339.fas', 134.653, 128.353, 1381.04, 1172.285
'bali_phy_msa.34.fas', 133.53, 126.621, 1342.422, 1139.003
'bali_phy_msa.340.fas', 133.541, 126.727, 1326.676, 1110.451
'bali_phy_msa.341.fas', 133.185, 125.989, 1284.091, 1116.57
'bali_phy_msa.342.fas', 133.455, 126.706, 1356.283, 1132.963
'bali_phy_msa.343.fas', 133.642, 127.035, 1399.277, 1156.674
'bali_phy_msa.344.fas', 133.17, 126.352, 1337.653, 1150.88
'bali_phy_msa.345.fas', 133.363, 126.993, 1216.198, 1180.439
'bali_phy_msa.346.fas', 131.825, 124.893, 1461.393, 1144.71
'bali_phy_msa.347.fas', 132.968, 126.156, 1266.406, 1144.065
'bali_phy_msa.348.fas', 133.454, 126.95, 1485.781, 1181.412
'bali_phy_msa.349.fas', 132.911, 125.998, 1300.667, 1136.31
'bali_phy_msa.35.fas', 134.926, 128.768, 1375.065, 1203.72
'bali_phy_msa.350.fas', 135.05, 128.724, 1369.039, 1181.742
'bali_phy_msa.351.fas', 133.429, 126.85, 1365.26, 1142.75
'bali_phy_msa.352.fas', 132.61, 125.946, 1409.179, 1137.014
'bali_phy_msa.353.fas', 135.39, 129.067, 1447.251, 1177.824
'bali_phy_msa.354.fas', 134.0, 127.73, 1293.745, 1136.471
'bali_phy_msa.355.fas', 134.237, 127.608, 1370.376, 1146.848
'bali_phy_msa.356.fas', 133.811, 127.416, 1387.88, 1140.599
'bali_phy_msa.357.fas', 134.828, 127.937, 1328.992, 1133.1
'bali_phy_msa.358.fas', 132.377, 125.08, 1234.414, 1102.142
'bali_phy_msa.359.fas', 134.95, 128.54, 1426.003, 1167.222
'bali_phy_msa.36.fas', 133.503, 127.096, 1307.823, 1151.074
'bali_phy_msa.360.fas', 135.712, 129.51, 1360.218, 1181.564
'bali_phy_msa.361.fas', 133.808, 127.312, 1289.772, 1157.277
'bali_phy_msa.362.fas', 134.728, 128.276, 1347.172, 1148.911
'bali_phy_msa.363.fas', 133.805, 127.11, 1351.43, 1114.656
'bali_phy_msa.364.fas', 133.878, 127.156, 1286.707, 1134.2
'bali_phy_msa.365.fas', 134.327, 128.098, 1383.773, 1155.37
'bali_phy_msa.366.fas', 131.886, 124.986, 1236.152, 1079.205
'bali_phy_msa.367.fas', 133.88, 127.436, 1614.576, 1182.197
'bali_phy_msa.368.fas', 134.818, 128.503, 1404.778, 1175.893
'bali_phy_msa.369.fas', 133.263, 126.321, 1229.805, 1126.903
'bali_phy_msa.37.fas', 135.533, 129.053, 1282.172, 1185.27
'bali_phy_msa.370.fas', 135.126, 128.996, 1482.852, 1193.348
'bali_phy_msa.371.fas', 133.322, 126.794, 1498.88, 1158.942
'bali_phy_msa.372.fas', 130.927, 123.579, 1241.396, 1102.533
