code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.324.fas', 111.072, 101.469, 1179.673, 948.32
'bali_phy_msa.325.fas', 107.414, 96.524, 982.068, 859.063
'bali_phy_msa.326.fas', 110.325, 99.567, 1083.191, 877.619
'bali_phy_msa.327.fas', 109.177, 98.32, 1146.714, 858.474
'bali_phy_msa.328.fas', 110.381, 100.043, 1048.176, 904.456
'bali_phy_msa.329.fas', 108.038, 98.068, 1127.59, 863.874
'bali_phy_msa.33.fas', 106.142, 94.962, 985.956, 846.376
'bali_phy_msa.330.fas', 110.835, 100.798, 1173.737, 926.98
'bali_phy_msa.331.fas', 110.694, 100.303, 1100.101, 905.613
'bali_phy_msa.332.fas', 106.158, 95.296, 1076.985, 854.303
'bali_phy_msa.333.fas', 111.167, 101.062, 1017.012, 923.929
'bali_phy_msa.334.fas', 109.359, 99.454, 1107.439, 907.999
'bali_phy_msa.335.fas', 112.301, 102.643, 1142.398, 944.164
'bali_phy_msa.336.fas', 110.502, 100.412, 1106.822, 899.499
'bali_phy_msa.337.fas', 109.166, 99.14, 1116.972, 913.582
'bali_phy_msa.338.fas', 111.471, 101.691, 1150.997, 932.625
'bali_phy_msa.339.fas', 111.288, 101.414, 1108.632, 917.701
'bali_phy_msa.34.fas', 108.8, 97.866, 1058.33, 874.598
'bali_phy_msa.340.fas', 108.788, 98.176, 1049.634, 855.143
'bali_phy_msa.341.fas', 107.733, 96.37, 999.776, 849.705
'bali_phy_msa.342.fas', 108.65, 98.065, 1069.009, 868.384
'bali_phy_msa.343.fas', 109.436, 98.967, 1114.573, 895.529
'bali_phy_msa.344.fas', 108.963, 98.337, 1059.634, 890.655
'bali_phy_msa.345.fas', 110.076, 100.143, 960.35, 921.948
'bali_phy_msa.346.fas', 108.089, 97.485, 1173.002, 887.13
'bali_phy_msa.347.fas', 108.552, 97.91, 993.768, 880.741
'bali_phy_msa.348.fas', 110.259, 100.1, 1201.594, 924.756
'bali_phy_msa.349.fas', 107.895, 97.002, 1019.034, 870.746
'bali_phy_msa.35.fas', 112.263, 102.6, 1109.553, 951.285
'bali_phy_msa.350.fas', 110.884, 100.86, 1091.115, 920.277
'bali_phy_msa.351.fas', 109.467, 99.187, 1087.445, 886.608
'bali_phy_msa.352.fas', 108.074, 97.64, 1117.208, 873.058
'bali_phy_msa.353.fas', 111.715, 101.789, 1163.725, 920.336
'bali_phy_msa.354.fas', 108.898, 98.724, 1014.746, 871.778
'bali_phy_msa.355.fas', 109.762, 99.178, 1086.224, 884.761
'bali_phy_msa.356.fas', 109.991, 99.931, 1110.278, 885.838
'bali_phy_msa.357.fas', 109.844, 98.946, 1046.877, 871.231
'bali_phy_msa.358.fas', 107.033, 95.569, 955.556, 835.792
'bali_phy_msa.359.fas', 110.444, 100.221, 1134.832, 901.531
'bali_phy_msa.36.fas', 109.888, 99.955, 1037.777, 894.684
'bali_phy_msa.360.fas', 111.214, 101.218, 1076.474, 914.683
'bali_phy_msa.361.fas', 109.032, 98.655, 1010.635, 888.83
'bali_phy_msa.362.fas', 110.234, 99.914, 1066.637, 887.609
'bali_phy_msa.363.fas', 109.111, 98.448, 1069.185, 856.574
