code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.305.fas', -9.771, -5.741, -10.971, -14.455
'bali_phy_msa.306.fas', -9.353, -4.768, -11.046, -13.4
'bali_phy_msa.307.fas', -8.51, -4.213, -9.041, -12.172
'bali_phy_msa.308.fas', -11.847, -8.102, -11.676, -16.235
'bali_phy_msa.309.fas', -9.142, -5.164, -9.852, -13.727
'bali_phy_msa.31.fas', -10.461, -6.391, -12.392, -13.367
'bali_phy_msa.310.fas', -11.18, -7.503, -10.347, -15.821
'bali_phy_msa.311.fas', -9.183, -5.17, -10.204, -13.666
'bali_phy_msa.312.fas', -7.559, -3.212, -9.441, -10.455
'bali_phy_msa.313.fas', -11.754, -8.316, -13.111, -16.358
'bali_phy_msa.314.fas', -8.969, -4.775, -10.493, -12.713
'bali_phy_msa.315.fas', -9.969, -6.148, -10.029, -13.705
'bali_phy_msa.316.fas', -11.042, -7.289, -11.173, -15.176
'bali_phy_msa.317.fas', -10.406, -6.541, -14.489, -14.795
'bali_phy_msa.318.fas', -8.524, -4.014, -7.365, -12.88
'bali_phy_msa.319.fas', -8.46, -4.127, -8.968, -12.253
'bali_phy_msa.32.fas', -9.234, -5.259, -10.957, -13.289
'bali_phy_msa.320.fas', -10.592, -6.755, -11.414, -15.077
'bali_phy_msa.321.fas', -9.095, -5.002, -10.556, -13.21
'bali_phy_msa.322.fas', -9.906, -5.925, -10.835, -14.244
'bali_phy_msa.323.fas', -8.878, -4.638, -11.517, -13.527
'bali_phy_msa.324.fas', -9.854, -5.976, -10.973, -13.251
'bali_phy_msa.325.fas', -7.185, -2.72, -10.346, -10.707
'bali_phy_msa.326.fas', -7.539, -3.369, -8.266, -12.067
'bali_phy_msa.327.fas', -9.229, -4.89, -10.256, -13.154
'bali_phy_msa.328.fas', -9.643, -5.785, -9.815, -13.662
'bali_phy_msa.329.fas', -11.414, -7.839, -12.555, -15.085
'bali_phy_msa.33.fas', -11.372, -7.732, -13.184, -14.617
'bali_phy_msa.330.fas', -11.247, -7.557, -13.26, -15.709
'bali_phy_msa.331.fas', -11.792, -7.955, -11.711, -16.087
'bali_phy_msa.332.fas', -11.174, -7.679, -6.51, -15.691
'bali_phy_msa.333.fas', -8.899, -4.43, -12.112, -11.816
