code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.240.fas', 150.044, 144.147, 1594.383, 1315.236
'bali_phy_msa.241.fas', 149.801, 144.354, 1602.716, 1349.037
'bali_phy_msa.242.fas', 152.228, 146.543, 1604.041, 1327.866
'bali_phy_msa.243.fas', 151.862, 146.142, 1418.138, 1343.555
'bali_phy_msa.244.fas', 149.785, 143.593, 1571.315, 1289.563
'bali_phy_msa.245.fas', 150.254, 144.108, 1527.314, 1299.845
'bali_phy_msa.246.fas', 152.461, 146.894, 1591.929, 1333.182
'bali_phy_msa.247.fas', 150.567, 144.783, 1504.211, 1328.949
'bali_phy_msa.248.fas', 149.564, 143.425, 1594.644, 1283.228
'bali_phy_msa.249.fas', 150.766, 145.159, 1627.486, 1324.824
'bali_phy_msa.25.fas', 153.026, 147.618, 1601.249, 1362.069
'bali_phy_msa.250.fas', 152.654, 147.131, 1657.819, 1348.724
'bali_phy_msa.251.fas', 151.592, 145.872, 1547.907, 1306.403
'bali_phy_msa.252.fas', 152.381, 146.778, 1552.965, 1330.028
'bali_phy_msa.253.fas', 151.689, 145.768, 1429.751, 1319.007
'bali_phy_msa.254.fas', 149.604, 143.689, 1466.017, 1293.536
'bali_phy_msa.255.fas', 151.717, 146.087, 1529.827, 1317.323
'bali_phy_msa.256.fas', 150.886, 145.093, 1550.847, 1330.465
'bali_phy_msa.257.fas', 151.378, 145.848, 1636.111, 1323.132
'bali_phy_msa.258.fas', 151.447, 145.641, 1662.231, 1343.77
'bali_phy_msa.259.fas', 151.843, 146.075, 1606.841, 1317.38
'bali_phy_msa.26.fas', 152.022, 146.549, 1660.713, 1352.191
'bali_phy_msa.260.fas', 150.189, 143.977, 1536.016, 1293.763
'bali_phy_msa.261.fas', 151.91, 146.235, 1625.548, 1331.445
'bali_phy_msa.262.fas', 151.098, 145.442, 1513.743, 1318.303
