code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.297.fas', 91.278, 80.352, 764.746, 718.651
'bali_phy_msa.298.fas', 94.666, 84.328, 987.78, 775.536
'bali_phy_msa.299.fas', 87.432, 76.179, 827.486, 678.793
'bali_phy_msa.3.fas', 90.224, 78.324, 724.523, 666.568
'bali_phy_msa.30.fas', 90.964, 79.558, 861.841, 700.19
'bali_phy_msa.300.fas', 90.807, 79.134, 843.639, 700.422
'bali_phy_msa.301.fas', 92.651, 82.133, 944.122, 749.709
'bali_phy_msa.302.fas', 92.586, 82.185, 894.554, 743.444
'bali_phy_msa.303.fas', 94.026, 83.402, 895.523, 754.245
'bali_phy_msa.304.fas', 92.847, 82.391, 939.291, 748.702
'bali_phy_msa.305.fas', 94.068, 83.591, 1007.053, 745.947
'bali_phy_msa.306.fas', 92.064, 81.337, 943.789, 731.465
'bali_phy_msa.307.fas', 91.724, 80.505, 878.56, 724.299
'bali_phy_msa.308.fas', 91.099, 80.065, 918.392, 707.337
'bali_phy_msa.309.fas', 93.075, 82.419, 934.195, 756.371
'bali_phy_msa.31.fas', 92.076, 80.83, 910.723, 718.201
'bali_phy_msa.310.fas', 95.688, 85.647, 994.497, 791.323
'bali_phy_msa.311.fas', 92.701, 82.486, 881.054, 750.936
'bali_phy_msa.312.fas', 90.321, 78.654, 897.423, 689.524
'bali_phy_msa.313.fas', 94.057, 83.51, 996.531, 742.073
'bali_phy_msa.314.fas', 91.554, 80.731, 863.38, 704.975
'bali_phy_msa.315.fas', 93.748, 83.251, 904.543, 748.514
'bali_phy_msa.316.fas', 93.818, 83.337, 987.399, 747.637
'bali_phy_msa.317.fas', 92.492, 81.684, 888.49, 738.977
'bali_phy_msa.318.fas', 94.56, 84.395, 978.098, 761.847
'bali_phy_msa.319.fas', 94.199, 83.905, 931.577, 761.998
'bali_phy_msa.32.fas', 89.815, 78.255, 782.785, 698.661
'bali_phy_msa.320.fas', 96.076, 85.745, 983.019, 790.446
'bali_phy_msa.321.fas', 93.46, 82.447, 830.414, 755.647
'bali_phy_msa.322.fas', 94.475, 84.325, 996.74, 783.049
'bali_phy_msa.323.fas', 92.283, 81.209, 921.641, 731.498
'bali_phy_msa.324.fas', 93.988, 84.073, 990.066, 785.258
'bali_phy_msa.325.fas', 90.632, 79.427, 815.982, 706.212
'bali_phy_msa.326.fas', 93.024, 81.937, 904.336, 722.885
'bali_phy_msa.327.fas', 92.102, 80.936, 958.803, 705.461
'bali_phy_msa.328.fas', 93.113, 82.443, 873.09, 745.383
'bali_phy_msa.329.fas', 90.963, 80.603, 942.548, 709.354
'bali_phy_msa.33.fas', 89.376, 77.957, 817.907, 693.907
'bali_phy_msa.330.fas', 94.094, 83.788, 989.424, 770.597
'bali_phy_msa.331.fas', 93.762, 83.104, 922.005, 749.577
'bali_phy_msa.332.fas', 89.711, 78.569, 901.737, 704.746
'bali_phy_msa.333.fas', 94.263, 83.908, 849.763, 766.436
'bali_phy_msa.334.fas', 92.26, 82.036, 924.184, 747.495
'bali_phy_msa.335.fas', 95.01, 85.005, 957.666, 781.852
'bali_phy_msa.336.fas', 93.328, 82.942, 926.029, 742.029
'bali_phy_msa.337.fas', 91.851, 81.473, 931.791, 751.212
