code_K5,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5
'bali_phy_msa.293.fas', 16737, 6.487, 4, 3, 17179
'bali_phy_msa.294.fas', 16114, 6.346, 5, 3, 16555
'bali_phy_msa.295.fas', 16418, 6.391, 4, 3, 16847
'bali_phy_msa.296.fas', 16855, 6.563, 5, 3, 17239
'bali_phy_msa.297.fas', 16664, 6.533, 4, 3, 17124
'bali_phy_msa.298.fas', 16250, 6.326, 4, 3, 16629
'bali_phy_msa.299.fas', 16285, 6.19, 4, 3, 16635
'bali_phy_msa.3.fas', 19037, 7.179, 4, 3, 19488
'bali_phy_msa.30.fas', 16490, 6.347, 4, 3, 16900
'bali_phy_msa.300.fas', 17329, 6.668, 4, 3, 17812
'bali_phy_msa.301.fas', 16842, 6.516, 4, 3, 17244
'bali_phy_msa.302.fas', 16455, 6.284, 4, 3, 16842
'bali_phy_msa.303.fas', 16614, 6.446, 4, 3, 17093
'bali_phy_msa.304.fas', 16344, 6.471, 5, 3, 16812
'bali_phy_msa.305.fas', 16460, 6.274, 4, 3, 16860
'bali_phy_msa.306.fas', 16426, 6.35, 4, 3, 16823
'bali_phy_msa.307.fas', 16194, 6.178, 4, 3, 16542
'bali_phy_msa.308.fas', 16355, 6.418, 5, 3, 16754
'bali_phy_msa.309.fas', 16391, 6.363, 4, 3, 16835
'bali_phy_msa.31.fas', 16301, 6.332, 4, 3, 16723
'bali_phy_msa.310.fas', 16659, 6.497, 4, 3, 17153
'bali_phy_msa.311.fas', 16718, 6.31, 4, 3, 17145
'bali_phy_msa.312.fas', 16347, 6.288, 4, 3, 16839
'bali_phy_msa.313.fas', 16971, 6.564, 4, 3, 17437
'bali_phy_msa.314.fas', 16510, 6.389, 4, 3, 16896
'bali_phy_msa.315.fas', 16592, 6.484, 4, 3, 17061
'bali_phy_msa.316.fas', 17462, 6.729, 5, 3, 17953
'bali_phy_msa.317.fas', 16350, 6.409, 4, 3, 16826
'bali_phy_msa.318.fas', 16415, 6.397, 4, 3, 16940
'bali_phy_msa.319.fas', 16102, 6.195, 4, 3, 16482
'bali_phy_msa.32.fas', 16770, 6.589, 5, 3, 17249
'bali_phy_msa.320.fas', 16991, 6.608, 5, 3, 17428
'bali_phy_msa.321.fas', 16732, 6.374, 4, 3, 17145
'bali_phy_msa.322.fas', 16586, 6.384, 4, 3, 17011
'bali_phy_msa.323.fas', 16573, 6.51, 4, 3, 17015
'bali_phy_msa.324.fas', 16841, 6.524, 4, 3, 17214
'bali_phy_msa.325.fas', 16202, 6.152, 4, 3, 16616
'bali_phy_msa.326.fas', 16348, 6.32, 4, 3, 16828
'bali_phy_msa.327.fas', 16969, 6.646, 5, 3, 17379
'bali_phy_msa.328.fas', 16733, 6.494, 4, 3, 17244
'bali_phy_msa.329.fas', 16915, 6.384, 4, 3, 17379
'bali_phy_msa.33.fas', 17185, 6.594, 4, 3, 17608
'bali_phy_msa.330.fas', 16876, 6.572, 4, 3, 17277
'bali_phy_msa.331.fas', 17389, 6.509, 4, 3, 17843
'bali_phy_msa.332.fas', 16721, 6.549, 5, 3, 17180
'bali_phy_msa.333.fas', 16165, 6.28, 4, 3, 16589
'bali_phy_msa.334.fas', 16253, 6.313, 4, 3, 16636
'bali_phy_msa.335.fas', 17314, 6.535, 4, 3, 17690
'bali_phy_msa.336.fas', 16760, 6.377, 4, 3, 17205
'bali_phy_msa.337.fas', 16885, 6.468, 4, 3, 17284
'bali_phy_msa.338.fas', 16576, 6.361, 4, 3, 17001
'bali_phy_msa.339.fas', 16480, 6.355, 4, 3, 16894
'bali_phy_msa.34.fas', 18354, 6.816, 4, 3, 18795
'bali_phy_msa.340.fas', 16539, 6.356, 4, 3, 16974
'bali_phy_msa.341.fas', 17240, 6.48, 4, 3, 17702
'bali_phy_msa.342.fas', 16771, 6.491, 4, 3, 17279
'bali_phy_msa.343.fas', 17066, 6.834, 5, 3, 17581
'bali_phy_msa.344.fas', 16252, 6.216, 4, 3, 16625
'bali_phy_msa.345.fas', 16094, 6.394, 5, 3, 16546
'bali_phy_msa.346.fas', 16334, 6.356, 4, 3, 16793
'bali_phy_msa.347.fas', 16217, 6.342, 4, 3, 16656
'bali_phy_msa.348.fas', 16589, 6.322, 4, 3, 16979
'bali_phy_msa.349.fas', 16206, 6.233, 4, 3, 16593
'bali_phy_msa.35.fas', 15992, 6.217, 4, 3, 16461
'bali_phy_msa.350.fas', 16655, 6.338, 4, 3, 17123
'bali_phy_msa.351.fas', 16980, 6.333, 4, 3, 17431
'bali_phy_msa.352.fas', 16419, 6.404, 4, 3, 16834
'bali_phy_msa.353.fas', 16936, 6.707, 5, 3, 17397
'bali_phy_msa.354.fas', 16543, 6.495, 5, 3, 16967
'bali_phy_msa.355.fas', 16622, 6.593, 5, 3, 17039
'bali_phy_msa.356.fas', 16829, 6.702, 5, 3, 17301
'bali_phy_msa.357.fas', 16010, 6.181, 4, 3, 16488
'bali_phy_msa.358.fas', 16417, 6.331, 4, 3, 16788
'bali_phy_msa.359.fas', 16407, 6.362, 4, 3, 16856
'bali_phy_msa.36.fas', 16654, 6.414, 4, 3, 17120
'bali_phy_msa.360.fas', 16071, 6.247, 4, 3, 16495
'bali_phy_msa.361.fas', 16336, 6.314, 4, 3, 16772
'bali_phy_msa.362.fas', 16308, 6.451, 4, 3, 16800
'bali_phy_msa.363.fas', 16071, 6.171, 4, 3, 16489
'bali_phy_msa.364.fas', 17041, 6.445, 4, 3, 17406
'bali_phy_msa.365.fas', 16384, 6.421, 4, 3, 16839
'bali_phy_msa.366.fas', 16352, 6.492, 4, 3, 16807
'bali_phy_msa.367.fas', 16794, 6.585, 4, 3, 17310
'bali_phy_msa.368.fas', 17480, 6.84, 5, 3, 17910
'bali_phy_msa.369.fas', 16798, 6.367, 4, 3, 17184
'bali_phy_msa.37.fas', 17229, 6.609, 4, 3, 17738
'bali_phy_msa.370.fas', 15945, 6.341, 4, 3, 16391
'bali_phy_msa.371.fas', 16496, 6.525, 4, 3, 16975
'bali_phy_msa.372.fas', 16379, 6.354, 5, 3, 16805
