code_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2
'bali_phy_msa.375.fas', 169.107, 163.714, 1751.531, 1508.231
'bali_phy_msa.376.fas', 168.257, 162.899, 1859.275, 1507.44
'bali_phy_msa.377.fas', 168.993, 163.721, 1830.8, 1515.067
'bali_phy_msa.378.fas', 167.786, 162.441, 1734.869, 1496.254
'bali_phy_msa.379.fas', 168.961, 163.594, 1779.22, 1487.035
'bali_phy_msa.38.fas', 169.517, 164.312, 1731.795, 1517.051
'bali_phy_msa.380.fas', 167.469, 161.783, 1651.943, 1474.358
'bali_phy_msa.381.fas', 169.211, 164.113, 1765.11, 1497.498
'bali_phy_msa.382.fas', 167.775, 162.231, 1689.12, 1467.913
'bali_phy_msa.383.fas', 168.788, 163.544, 1773.037, 1495.153
'bali_phy_msa.384.fas', 168.424, 162.718, 1664.409, 1467.601
'bali_phy_msa.385.fas', 168.96, 163.708, 1734.953, 1504.015
'bali_phy_msa.386.fas', 168.312, 162.635, 1587.321, 1435.085
'bali_phy_msa.387.fas', 168.043, 162.557, 1750.31, 1471.661
'bali_phy_msa.388.fas', 168.714, 163.116, 1817.996, 1494.771
'bali_phy_msa.389.fas', 168.467, 162.879, 1737.804, 1484.179
'bali_phy_msa.39.fas', 168.654, 163.595, 1861.997, 1498.799
'bali_phy_msa.390.fas', 168.258, 162.805, 1640.046, 1485.928
'bali_phy_msa.391.fas', 168.752, 163.845, 1799.999, 1490.977
'bali_phy_msa.392.fas', 167.866, 162.145, 1765.323, 1473.687
'bali_phy_msa.393.fas', 169.554, 164.672, 1822.02, 1511.297
'bali_phy_msa.394.fas', 167.291, 161.767, 1725.953, 1465.117
'bali_phy_msa.395.fas', 167.946, 162.654, 1725.265, 1505.148
'bali_phy_msa.396.fas', 168.373, 163.112, 1668.791, 1469.016
'bali_phy_msa.397.fas', 168.854, 163.355, 1741.257, 1486.295
'bali_phy_msa.398.fas', 168.857, 163.55, 1744.603, 1494.876
'bali_phy_msa.399.fas', 169.587, 164.247, 1739.761, 1513.982
'bali_phy_msa.4.fas', 170.062, 164.858, 1776.727, 1507.06
'bali_phy_msa.40.fas', 166.771, 160.708, 1637.938, 1430.775
'bali_phy_msa.400.fas', 169.22, 163.948, 1706.985, 1484.225
'bali_phy_msa.41.fas', 167.915, 162.373, 1836.636, 1472.144
'bali_phy_msa.42.fas', 167.874, 162.494, 1718.197, 1480.814
'bali_phy_msa.43.fas', 167.09, 161.598, 1723.555, 1467.537
'bali_phy_msa.44.fas', 168.359, 163.052, 1788.36, 1493.387
'bali_phy_msa.45.fas', 169.175, 163.811, 1721.446, 1510.267
'bali_phy_msa.46.fas', 166.023, 160.2, 1737.369, 1438.687
'bali_phy_msa.47.fas', 168.705, 163.12, 1750.046, 1498.302
'bali_phy_msa.48.fas', 167.192, 161.549, 1685.699, 1472.897
'bali_phy_msa.49.fas', 168.773, 163.727, 1947.064, 1506.318
'bali_phy_msa.5.fas', 168.657, 163.161, 1626.299, 1445.118
'bali_phy_msa.50.fas', 167.331, 161.836, 1787.299, 1477.247
'bali_phy_msa.51.fas', 168.344, 163.089, 1780.357, 1495.06
'bali_phy_msa.52.fas', 168.207, 162.981, 1621.445, 1478.848
'bali_phy_msa.53.fas', 166.394, 160.445, 1519.63, 1430.516
'bali_phy_msa.54.fas', 169.163, 163.584, 1630.577, 1445.746
'bali_phy_msa.55.fas', 167.715, 162.177, 1820.759, 1448.501
'bali_phy_msa.56.fas', 168.118, 162.618, 1622.848, 1482.15
'bali_phy_msa.57.fas', 168.707, 163.401, 1784.092, 1480.975
'bali_phy_msa.58.fas', 167.854, 162.155, 1695.414, 1462.691
'bali_phy_msa.59.fas', 168.039, 162.759, 1813.084, 1497.302
'bali_phy_msa.6.fas', 169.491, 164.346, 1734.281, 1494.731
'bali_phy_msa.60.fas', 167.725, 162.221, 1728.338, 1478.112
