code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.none.260.afa', 31991.0, 0.054, 33189, 0.056, 4783, 0.008, 91561, 0.154, 173636.0, 0.292, -22947, -0.039, 84546.8, 0.142
'MUSCLE_diversified_replicate.none.264.afa', 32080.0, 0.054, 33247, 0.056, 4635, 0.008, 91267, 0.153, 174185.0, 0.293, -23639, -0.04, 85942.6, 0.144
'MUSCLE_diversified_replicate.none.268.afa', 31588.0, 0.05, 33665, 0.053, 4570, 0.007, 91415, 0.145, 171661.0, 0.273, -23710, -0.038, 83968.0, 0.133
'MUSCLE_diversified_replicate.none.272.afa', 33564.0, 0.057, 28507, 0.048, 4722, 0.008, 97779, 0.166, 181933.0, 0.309, -15693, -0.027, 99464.2, 0.169
'MUSCLE_diversified_replicate.none.276.afa', 33611.0, 0.058, 28689, 0.05, 4776, 0.008, 97321, 0.168, 182315.0, 0.315, -16051, -0.028, 99039.8, 0.171
'MUSCLE_diversified_replicate.none.28.afa', 33544.0, 0.056, 28616, 0.048, 4720, 0.008, 97601, 0.164, 181894.0, 0.306, -15822, -0.027, 99351.8, 0.167
'MUSCLE_diversified_replicate.none.280.afa', 33562.0, 0.055, 28484, 0.047, 4756, 0.008, 97829, 0.16, 181949.0, 0.298, -15854, -0.026, 98969.2, 0.162
'MUSCLE_diversified_replicate.none.284.afa', 33564.0, 0.055, 28520, 0.047, 4762, 0.008, 97753, 0.161, 182047.0, 0.3, -16089, -0.027, 98787.4, 0.163
'MUSCLE_diversified_replicate.none.288.afa', 33521.0, 0.056, 28635, 0.048, 4661, 0.008, 97609, 0.163, 181828.0, 0.303, -15978, -0.027, 99718.2, 0.166
'MUSCLE_diversified_replicate.none.292.afa', 31925.0, 0.056, 33362, 0.058, 4701, 0.008, 91347, 0.159, 173270.0, 0.302, -23135, -0.04, 84855.6, 0.148
'MUSCLE_diversified_replicate.none.296.afa', 31734.0, 0.055, 33515, 0.058, 4694, 0.008, 91423, 0.158, 172577.0, 0.298, -23150, -0.04, 84202.4, 0.146
